index,slug,name,reason
84,libraries-as-places,Libraries as places,exception: 400 Client Error: Bad Request for url: https://api.scryfall.com/cards/search?q=n%3Alibrary+-n%3A%27library+of%27&unique=cards&order=name
85,ruins-in-magic,Ruins in Magic,exception: 400 Client Error: Bad Request for url: https://api.scryfall.com/cards/search?q=n%3Aruin+or+n%3Aruins&unique=cards&order=name
